Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,MSZoning_E,LotShape_E,LandContour_E,LotConfig_E,Neighborhood_E,Condition1_E,Condition2_E,BldgType_E,HouseStyle_E,RoofStyle_E,RoofMatl_E,Exterior1st_E,MasVnrType_E,ExterQual_E,ExterCond_E,Foundation_E,BsmtQual_E,BsmtCond_E,BsmtExposure_E,BsmtFinType1_E,BsmtFinType2_E,Heating_E,HeatingQC_E,CentralAir_E,Electrical_E,KitchenQual_E,Functional_E,GarageType_E,GarageFinish_E,GarageQual_E,PavedDrive_E,SaleType_E,SaleCondition_E
1,60,8450,7,5,2003,2003,706,0,150,856,854,0,1710,1,0,2,1,3,1,0,548,0,61,0,0,0,0,0,2,2008,208500,4.0,1.0,2.0,1.0,17.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,3.0,3.0,4.0,6.0,4.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
2,20,9600,6,8,1976,1976,978,0,284,1262,0,0,1262,0,1,2,0,3,1,1,460,298,0,0,0,0,0,0,5,2007,181500,4.0,1.0,2.0,2.0,21.0,3.0,5.0,5.0,6.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
3,60,11250,7,5,2001,2002,486,0,434,920,866,0,1786,1,0,2,1,3,1,1,608,0,42,0,0,0,0,0,9,2008,223500,4.0,2.0,2.0,1.0,17.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,3.0,3.0,4.0,6.0,4.0,4.0,3.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
4,70,9550,7,5,1915,1970,216,0,540,756,756,0,1717,1,0,1,0,3,1,1,642,0,35,272,0,0,0,0,2,2006,140000,4.0,2.0,2.0,3.0,18.0,5.0,5.0,5.0,7.0,2.0,3.0,6.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,6.0,6.0,4.0,2.0,5.0,3.0,7.0,3.0,2.0,4.0,3.0,5.0,2.0
5,60,14260,8,5,2000,2000,655,0,490,1145,1053,0,2198,1,0,2,1,4,1,1,836,192,84,0,0,0,0,0,12,2008,250000,4.0,2.0,2.0,2.0,25.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,3.0,3.0,4.0,6.0,4.0,4.0,4.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
6,50,14115,5,5,1993,1995,732,0,64,796,566,0,1362,1,0,1,1,1,1,0,480,40,30,0,320,0,0,700,10,2009,143000,4.0,2.0,2.0,1.0,12.0,5.0,5.0,5.0,3.0,2.0,3.0,12.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,6.0,2.0,4.0,3.0,5.0,5.0
7,20,10084,8,5,2004,2005,1369,0,317,1686,0,0,1694,1,0,2,0,3,1,1,636,255,57,0,0,0,0,0,8,2007,307000,4.0,1.0,2.0,1.0,20.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,5.0,4.0,4.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
8,60,10382,7,6,1973,1973,859,32,216,1107,983,0,2090,1,0,2,1,3,1,2,484,235,204,228,0,0,0,350,11,2009,200000,4.0,2.0,2.0,3.0,14.0,8.0,5.0,5.0,7.0,2.0,3.0,9.0,5.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,6.0,5.0,2.0,5.0,2.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
9,50,6120,7,5,1931,1950,0,0,952,952,752,0,1774,0,0,2,0,2,2,2,468,90,0,205,0,0,0,0,4,2008,129900,2.0,1.0,2.0,1.0,6.0,1.0,5.0,5.0,3.0,2.0,3.0,11.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,5.0,2.0
10,190,7420,5,6,1939,1950,851,0,140,991,0,0,1077,1,0,1,0,2,2,2,205,0,4,0,0,0,0,0,1,2008,118000,4.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,6.0,3.0,5.0,3.0,5.0,5.0
